State,Filed week ended,Initial Claims
Kansas,05/19/1990,"2,373"
Kansas,05/26/1990,"2,067"
Kansas,06/02/1990,"1,826"
Kansas,06/09/1990,"2,415"
Kansas,06/16/1990,"1,949"
Kansas,06/23/1990,"2,017"
Kansas,06/30/1990,"1,789"
Kansas,07/07/1990,"3,056"
Kansas,07/14/1990,"2,483"
Kansas,07/21/1990,"2,034"
Kansas,07/28/1990,"2,233"
Kansas,08/04/1990,"4,771"
Kansas,08/11/1990,"2,653"
Kansas,08/18/1990,"4,089"
Kansas,08/25/1990,"2,054"
Kansas,09/01/1990,"3,594"
Kansas,09/08/1990,"1,906"
Kansas,09/15/1990,"2,097"
Kansas,09/22/1990,"1,984"
Kansas,09/29/1990,"1,726"
Kansas,10/06/1990,"3,979"
Kansas,10/13/1990,"3,114"
Kansas,10/20/1990,"2,250"
Kansas,10/27/1990,"2,181"
Kansas,11/03/1990,"2,524"
Kansas,11/10/1990,"5,581"
Kansas,11/17/1990,"2,652"
Kansas,11/24/1990,"1,950"
Kansas,12/01/1990,"3,824"
Kansas,12/08/1990,"3,497"
Kansas,12/15/1990,"2,845"
Kansas,12/22/1990,"7,078"
Kansas,12/29/1990,"3,966"
Kansas,01/05/1991,"4,169"
Kansas,01/12/1991,"5,873"
Kansas,01/19/1991,"7,030"
Kansas,01/26/1991,"3,101"
Kansas,02/02/1991,"3,660"
Kansas,02/09/1991,"5,602"
Kansas,02/16/1991,"3,160"
Kansas,02/23/1991,"2,631"
Kansas,03/02/1991,"2,531"
Kansas,03/09/1991,"5,004"
Kansas,03/16/1991,"2,694"
Kansas,03/23/1991,"2,433"
Kansas,03/30/1991,"2,072"
Kansas,04/06/1991,"3,086"
Kansas,04/13/1991,"2,722"
Kansas,04/20/1991,"2,425"
Kansas,04/27/1991,"2,699"
Kansas,05/04/1991,"2,390"
Kansas,05/11/1991,"2,206"
Kansas,05/18/1991,"2,298"
Kansas,05/25/1991,"2,856"
Kansas,06/01/1991,"2,061"
Kansas,06/08/1991,"2,365"
Kansas,06/15/1991,"2,509"
Kansas,06/22/1991,"2,104"
Kansas,06/29/1991,"2,293"
Kansas,07/06/1991,"2,862"
Kansas,07/13/1991,"3,075"
Kansas,07/20/1991,"2,981"
Kansas,07/27/1991,"4,845"
Kansas,08/03/1991,"2,653"
Kansas,08/10/1991,"2,364"
Kansas,08/17/1991,"2,162"
Kansas,08/24/1991,"2,638"
Kansas,08/31/1991,"2,127"
Kansas,09/07/1991,"1,930"
Kansas,09/14/1991,"2,010"
Kansas,09/21/1991,"2,139"
Kansas,09/28/1991,"2,124"
Kansas,10/05/1991,"2,243"
Kansas,10/12/1991,"2,520"
Kansas,10/19/1991,"2,476"
Kansas,10/26/1991,"2,355"
Kansas,11/02/1991,"3,163"
Kansas,11/09/1991,"4,261"
Kansas,11/16/1991,"2,746"
Kansas,11/23/1991,"3,954"
Kansas,11/30/1991,"3,576"
Kansas,12/07/1991,"4,436"
Kansas,12/14/1991,"2,974"
Kansas,12/21/1991,"5,968"
Kansas,12/28/1991,"5,894"
Kansas,01/04/1992,"4,973"
Kansas,01/11/1992,"5,519"
Kansas,01/18/1992,"4,078"
Kansas,01/25/1992,"2,907"
Kansas,02/01/1992,"3,895"
Kansas,02/08/1992,"5,274"
Kansas,02/15/1992,"3,707"
Kansas,02/22/1992,"3,140"
Kansas,02/29/1992,"2,652"
Kansas,03/07/1992,"3,071"
Kansas,03/14/1992,"2,692"
Kansas,03/21/1992,"2,511"
Kansas,03/28/1992,"2,154"
Kansas,04/04/1992,"1,926"
Kansas,04/11/1992,"2,670"
Kansas,04/18/1992,"2,202"
Kansas,04/25/1992,"3,012"
Kansas,05/02/1992,"2,494"
Kansas,05/09/1992,"2,309"
Kansas,05/16/1992,"2,133"
Kansas,05/23/1992,"2,404"
Kansas,05/30/1992,"1,854"
Kansas,06/06/1992,"3,083"
Kansas,06/13/1992,"2,610"
Kansas,06/20/1992,"2,418"
Kansas,06/27/1992,"2,205"
Kansas,07/04/1992,"2,378"
Kansas,07/11/1992,"3,011"
Kansas,07/18/1992,"2,856"
Kansas,07/25/1992,"5,132"
Kansas,08/01/1992,"3,006"
Kansas,08/08/1992,"2,005"
Kansas,08/15/1992,"2,211"
Kansas,08/22/1992,"1,942"
Kansas,08/29/1992,"1,868"
Kansas,09/05/1992,"2,221"
Kansas,09/12/1992,"1,613"
Kansas,09/19/1992,"1,736"
Kansas,09/26/1992,"1,645"
Kansas,10/03/1992,"1,766"
Kansas,10/10/1992,"2,383"
Kansas,10/17/1992,"1,763"
Kansas,10/24/1992,"1,562"
Kansas,10/31/1992,"2,305"
Kansas,11/07/1992,"3,049"
Kansas,11/14/1992,"2,644"
Kansas,11/21/1992,"2,674"
Kansas,11/28/1992,"3,437"
Kansas,12/05/1992,"3,751"
Kansas,12/12/1992,"2,918"
Kansas,12/19/1992,"3,254"
Kansas,12/26/1992,"3,074"
Kansas,01/02/1993,"3,564"
Kansas,01/09/1993,"4,350"
Kansas,01/16/1993,"4,349"
Kansas,01/23/1993,"3,530"
Kansas,01/30/1993,"2,858"
Kansas,02/06/1993,"2,397"
Kansas,02/13/1993,"2,656"
Kansas,02/20/1993,"3,097"
Kansas,02/27/1993,"3,062"
Kansas,03/06/1993,"2,578"
Kansas,03/13/1993,"2,098"
Kansas,03/20/1993,"1,964"
Kansas,03/27/1993,"1,586"
Kansas,04/03/1993,"2,190"
Kansas,04/10/1993,"2,858"
Kansas,04/17/1993,"2,714"
Kansas,04/24/1993,"2,171"
Kansas,05/01/1993,"1,685"
Kansas,05/08/1993,"2,445"
Kansas,05/15/1993,"2,807"
Kansas,05/22/1993,"2,047"
Kansas,05/29/1993,"1,860"
Kansas,06/05/1993,"1,720"
Kansas,06/12/1993,"2,345"
Kansas,06/19/1993,"1,644"
Kansas,06/26/1993,"1,858"
