observation_date,MEPOP
1976-01-01,1088.412
1977-01-01,1103.578
1978-01-01,1113.566
1979-01-01,1122.563
1980-01-01,1126.860
1981-01-01,1133.033
1982-01-01,1136.684
1983-01-01,1144.772
1984-01-01,1155.635
1985-01-01,1162.936
1986-01-01,1170.126
1987-01-01,1184.574
1988-01-01,1203.840
1989-01-01,1219.961
1990-01-01,1231.296
1991-01-01,1235.439
1992-01-01,1235.748
1993-01-01,1238.256
1994-01-01,1237.687
1995-01-01,1237.438
1996-01-01,1241.436
1997-01-01,1245.215
1998-01-01,1247.554
1999-01-01,1253.040
2000-01-01,1277.072
2001-01-01,1285.692
2002-01-01,1295.960
2003-01-01,1306.513
2004-01-01,1313.688
2005-01-01,1318.787
2006-01-01,1323.619
2007-01-01,1327.040
2008-01-01,1330.509
2009-01-01,1329.590
2010-01-01,1327.651
2011-01-01,1328.473
2012-01-01,1328.094
2013-01-01,1328.543
2014-01-01,1331.217
2015-01-01,1329.098
2016-01-01,1332.348
2017-01-01,1335.743
2018-01-01,1340.123
2019-01-01,1345.770
2020-01-01,1364.571
2021-01-01,1378.931
2022-01-01,1390.922
2023-01-01,1399.646
2024-01-01,1405.012
